Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
1;Centrum Wroc³awia;Wroc³aw;piesze/rowerowe;2000000;Tak;Rowerowy Wroc³aw II-bezpiecznie z osiedla do centrum
2;Dzia³ka nr 78/3, obrêb Kar³owice, arkusz mapy 9;Kar³owice-Ró¿anka;zieleñ/rekreacja;499999;Tak;Park Kar³owice, plac zabaw i si³ownia w parku przy Wy¿szej Szkole Oficerskiej przy ul. Czajkowskiego we Wroc³awiu –podejœcie trzecie, prosimy o g³os w s³usznej sprawie :-)
3;ul. Skarbowców 52, Dzia³ka nr 40/84, AM-5, obrêb Krzyki ;Krzyki-Partynice;zieleñ/rekreacja;1500000;Tak;Wyspa Skarbów – zagospodarowanie terenu zrujnowanego fortu przy ul. Skarbowców na Miejskie Centrum Rekreacji
4;Obszar osiedla Borek ograniczony obwodnic¹ kolejow¹ (wschód/po³udnie), alej¹ Hallera/ulic¹ Wiœniow¹ (pó³noc) oraz ulic¹ Œlê¿n¹ (zachód).;Borek;zieleñ/rekreacja;50000;Tak;Ratujmy drzewa na Borku - Usuniêcie jemio³y nowoczesn¹ metod¹ ze 100 starych drzew.
5;ul. Reymonta;Kleczków;drogowe;1000000;Tak;Wygodny przystanek na Reymonta
6;Legnicka/ Nabyciñska;Szczepin;piesze/rowerowe;1200000;Tak;Budowa przejœcia dla pieszych na Legnickiej/ Nabyciñskiej
7;Dzia³ki miêdzy ulicami Tymiankow¹, Cynamonow¹ i Any¿ow¹ (obrêb Lipa Piotrowska: AR_5, 3/8 i AR_5, 3/7);Lipa Piotrowska;zieleñ/rekreacja;1502200;Tak;Kompleks sportowo-rekreacyjny przy ul. Tymiankowej dla mieszkañców Lipy Piotrowskiej, Widawy i Œwiniar
8;Dzia³ka u zbiegu ulic Cynamonowej i Any¿owej (obrêb Lipa Piotrowska, arkusz mapy 5, dzia³ka nr 3/8);Lipa Piotrowska;sport;486800;Tak;Boisko wielofunkcyjne przy ul. Cynamonowej
9;Nowy Œwiat/ Cieszyñskiego;Stare Miasto;piesze/rowerowe;800000;Tak;Bezpieczne przejœcie przy Arsenale
10;Most Sikorskiego;Stare Miasto, Szczepin, granice wroc³awskich osiedli;drogowe;1000000;Tak;Szybciej tramwajem przez Most Sikorskiego!
11;okolice placu Pereca, Wroc³aw;Gajowice ;drogowe;30000;Tak;Bezpieczny plac Pereca
12;"19, 20 - Psie Pole
";Psie Pole-Zawidawie;zieleñ/rekreacja;85000;Tak;Oœwietlenie na nowym chodniku przy ulicy Gorlickiej.
13;"Ul. Tymiankowa od ul. Pe³czyñskiej do ul. Cynamonowej, (obrêb Lipa Piotrowska: AR_7, 15/3; AR_5, 3/1) wraz z fragmentem ul. Cynamonowej na ³uku wzd³u¿ dzia³ki AR_5, 3/4.";Lipa Piotrowska;piesze/rowerowe;77000;Nie;Chodnik przy ul. Tymiankowej
14;"ul. Cynamonowa od ul. Waniliowej do ³uku przy ul. Tymiankowej (obrêb Lipa Piotrowska: AR_4, 11/2; AR_4, 12/3; AR_5, 3/1).";Lipa Piotrowska;piesze/rowerowe;73000;Nie;Chodnik przy ul. Cynamonowej
15;16/3,16/1,15/3 - Psie Pole;Psie Pole-Zawidawie;inne;20000;Tak;Aran¿acja skrzy¿owania Litewska / Gorlicka / Tarasa Szewczenki
16;ca³e miasto;Wroc³aw;piesze/rowerowe;500000;Tak;Rowerem legalnie pod pr¹d w ca³ym centrum!
17;dawna zajezdnia tramwajowa nr VI, ul. Wróblewskiego 36;Wroc³aw;inne;100000;Nie;Renowacja autobusu Jelcz RTO - Fredruœ
18;ul. Wyspiañskiego;Plac Grunwaldzki;piesze/rowerowe;1500000;Tak;Modernizacja drogi rowerowej na Wybrze¿u Wyspiañskiego
19;"ul. Tymiankowa od ul. Pe³czyñskiej do ul. Cynamonowej, (obrêb Lipa Piotrowska: AR_7, 15/3; AR_5, 3/1) wraz z fragmentem ul. Cynamonowej na ³uku wzd³u¿ dzia³ki AR_5, 3/4.";Lipa Piotrowska;piesze/rowerowe;77000;Tak;Chodnik przy ul. Tymiankowej
20;"ul. Cynamonowa od ul. Waniliowej do ³uku przy ul. Tymiankowej (obrêb Lipa Piotrowska: AR_4, 11/2; AR_4, 12/3; AR_5, 3/1)";Lipa Piotrowska;piesze/rowerowe;73000;Tak;Chodnik przy ul. Cynamonowej
21;Most Grunwaldzki (od strony placu Spo³ecznego);Plac Grunwaldzki, Przedmieœcie O³awskie, granice wroc³awskich osiedli;piesze/rowerowe;500000;Tak;Przejœcie dla pieszych przy M. Grunwaldzkim
22;Ulica Cybulskiego od placu Maksa Borna do Drobnera;Nadodrze;drogowe;33000;Tak;Nowe Nadodrze - Skwer Cybulskiego
23;W³asnoœæ Gminy Wroc³aw, Nazwa Obrêbu Plac Grunwaldzki, Numer arkusza mapy 13, Numer dzia³ki 34 ;O³bin;inne;85000;Tak;Stojaki na rowery przy Gimnazjum nr 15
24;Rondo Reagana, przejœcie z wyspy centralnej na przystanek linii nr 1 (w kierunku mostu Zwierzynieckiego).;Plac Grunwaldzki;piesze/rowerowe;100000;Tak;Przejœcie dla pieszych na Rondzie Reagana
25;Wroc³aw, ul. Pe³czyñska 33, obszar mapy: Lipa Piotrowska, Arkusz mapy Nr 10 - dzia³ka 21 oraz Arkusz Mapy Nr 12 - dzia³ka 3;Lipa Piotrowska;inne;0;Tak;Organizacja dzia³añ wystawienniczo-szkoleniowych w Spo³ecznym, Mobilnym Muzeum Militarnym we Wroc³awiu im. Jakuba M. £aciaka (w organizacji)
26;"Trójk¹t ulic: Piêkna, Jesionowa, Otmuchowska; dzia³ki nr 68 i 69/2, arkusz mapy 29, obrêb Po³udnie";Tarnogaj;zieleñ/rekreacja;0;Tak;Zróbmy piêkny skwer. Rewitalizacja skweru po³o¿onego w trójkacie ulic: Piêkna, Jesionowa, Otmuchowska
27;skwer w trójk¹cie ulic: chodniki gminne w pobli¿u Koœcio³a u zbiegu Piêkna - Bardzka;Tarnogaj;piesze/rowerowe;0;Tak;chodniki przy Koœciele pw Ducha Œw. Piêkna-Bardzka
28;"Przedszkole Nr 119 ""Zielona £¹ka"", ul. £ódzka 23, 50-032 Wroc³aw; Po³udnie, AR_27, 28/24 i 34/3";Huby;edukacja;0;Tak;"""Bezpieczne ogrodzenie to bezpieczny przedszkolak"" - wykonanie ogrodzenia placu zabaw Przedszkola Nr 119 ""Zielona £¹ka"", Wroc³aw, ul. £ódzka 23"
29;"ul. Nowowiejska 36; Plac Grunwaldzki, AR_9, 89, 82/3 i 83/3";O³bin;edukacja;0;Tak;Modernizacja placu zabaw Przedszkola nr 55 we Wroc³awiu
30;"ul. Lwowska 32-42 / Zaporoska 25-31a / Lubuska 54-60; Grabiszyn, AR_13, 19/28 i 21/8";Gajowice ;rewitalizacja;0;Tak;Zagospodarowanie wnêtrza miêdzyblokowego Lwowska 32-42 / Zaporoska 25-31a / Lubuska 54-60
31;Wroc³aw, ul. Powstañców Œl¹skich - Wielka (Sky Tower);Powstañców Œl¹skich;piesze/rowerowe;0;Nie;Modernizacja przystanków tramwajowych
32;teren miêdzy ulicami : Barlickiego 11-25 - Nowowiejska 39-47 - b³. Edyty Stein - Kluczborska 30-34;O³bin;rewitalizacja;0;Tak;"Projekt Obywatelski odnowy podwórka ""Podwórze: Nowowiejska - Stein - Barlickiego - Kluczborska"""
33;ul. Kamienna 86, 50-547 Wroc³aw;Huby;edukacja;0;Tak;Si³ownia na powietrzu na terenie Zespo³u Szkó³ Gastronomicznych we Wroc³awiu
34;ul. Kamienna 86, 50-547 Wroc³aw;Huby;edukacja;0;Tak;Poprawa stanu nawierzchni, remont chodnika, wymiana ogrodzenia i bram wjazdowych na terenie Zespo³u Szkó³ Gastronomicznych we Wroc³awiu
35;Noclegownia dla mê¿czyzn, ul. Ma³achowskiego 13, 50-084 Wroc³aw;Przedmieœcie O³awskie;inne;0;Tak;Zmiana i rozbudowa mebli s³u¿¹cych do spania
36;Zajezdnia tramwajowa nr IV ul. Powstañców Œl¹skich 209;Wroc³aw;inne;0;Nie;Renowacja autobusu Jelcz RTO - Fredruœ
37;ul. Modliñskiej na odcinku od ul. Sokolej do ul. Rac³awickiej po stronie zachodniej (numery parzyste);Borek;piesze/rowerowe;0;Tak;Remont chodnika na ul. Modliñskiej na odcinku od ul. Sokolej do ul. Rac³awickiej po stronie zachodniej (numery parzyste)
38;ul. Jemio³owa 57, Grabiszyn, AR_16, 8/5;Gajowice ;edukacja;0;Tak;Boisko szkolne z okóln¹ bie¿ni¹ lekkoatletyczn¹ i boiskiem wielofunkcyjnym wewn¹trz przy Gimnazjum nr 16 im. Andrzeja Waligórskiego
39;ul. Dobrzyñska 21-23, Po³udnie, AR_1, dz. 21;Przedmieœcie O³awskie;drogowe;0;Tak;"Utworzenie przy ul. Dobrzyñskiej parkingu dla mieszkañców Wroc³awia, w szczególnoœci pacjentów Centrum Medycznego ""Dobrzyñska"" oraz wiernych Parafii p.w. Œw. Maurycego"
40;ul. Stanis³awowska 90, Obrêb Muchobór Wielki, AR_12, 48/1, 48/2;Muchobór Wielki;zieleñ/rekreacja;0;Tak;Ogród dzieci
41;Dzia³ka miêdzy ulicami Tymiankow¹ i Cynamonow¹ (obrêb Lipa Piotrowska: AR_5, 3/8 i AR_5, 3/7, 3/5);Lipa Piotrowska;zieleñ/rekreacja;483900;Tak;Miêdzypokoleniowe Centrum Rekreacji – Tymiankowa (II etap)
42;"Szko³a Podstawowa nr 68 Wroc³aw ul. Szczêœliwa 28 
nr dzia³ki 35 i 37/66 AM 13 ";Grabiszyn-Grabiszynek;edukacja;100000;Tak;Ogrodzenie wokó³ szko³y.
43;ul. Gazowa 16, Kamieniecka 72 (koœció³  œw. Stefana), Obrêb Tarnogaj, AR_7, 97/1, 119/6;Tarnogaj;drogowe;0;Tak;Utwardzenie terenu stanowi¹cego dojazd do bramy wjazdowej koœcio³a pod wezwaniem œw. Stefana oraz dojazd na zaplecze budynków przy ul. Tarnogajskiej 61-35, Gazowej 16 i ul. Kamienieckiej 70-4 dla s³u¿b komunalnych miasta
44;Osiedle Kleczków;Kleczków;drogowe;35000;Tak;Bezpieczny i przyjazny Kleczków
45;ul. Trawowa, oznaczona geodezyjnie jako dz. 1, AM 11, obrêb Muchobór Wielki ;Muchobór Wielki;sport;1295000;Tak;Muchoborskie Centrum Sportu Trawowa
46;przy ul. Krynickiej (w rejonie wlotu do ul. Bardzkiej), arkusz mapy i numer geodezyjny dzia³ek: AR4 6/16, AR4 7/6 (czêœæ), AR4 6/15 (czêœæ), AR10 2/75 (czêœæ), AR10 2/81 (czêœæ).;Gaj;rewitalizacja;676270;Nie;Zielony parking przy ul. Krynickiej
47;"od strony ul. Bardzka; Gaj, AR_10,2/81";Gaj;inne;900000;Nie;wykonanie nasadzeñ izolacyjnych od strony ul. Bardzkiej
48;AR_2, 4/2;Ksiê¿e;zieleñ/rekreacja;1000000;Tak;Rewaloryzacja Parku Wschodniego
49;Stawy Leœnickie mieszcz¹ce siê ul. Œredzk¹-Serowarsk¹-Trzmielowick¹-Jajczarsk¹;Leœnica;zieleñ/rekreacja;0;Nie;Remont infrastruktury Stawów Leœnickich i przystosowanie ich do funkcji rekreacyjnej
50;ul. Spiska na odcinku : ul. Weigla - ul. Koszycka, Obrêb Gaj, AR_13, 8/1, 18, 20/4, 23, 25/3;Gaj, Borek, granice wroc³awskich osiedli;drogowe;0;Tak;Budowa jednojezdniowej ulicy kl. IV w osiedlu domków jednorodzinnych i ogrodów dzia³kowych, o nawierzchni jezdni z kostki betonowej, gruboœci 8 cm, u³o¿onej na podbudowie oraz podsypce cementowo-piaskowej, gruboœci ok. 3
51;ul.Boya-¯eleñskiego pod wiaduktem kolejowym;Kar³owice-Ró¿anka;piesze/rowerowe;4000;Tak;odmalowanie przejœcia tunelowego
52;ulica Nepalska;Brochów ;drogowe;49028;Tak;Remont ulicy Nepalskiej
53;ulica Marii Wittek, O³taszyn Wroc³aw;O³taszyn;drogowe;900000;Tak; II etap S³onecznego Parku na O³taszynie, w tym infrastruktura towarzysz¹ca ulicy Marii Wittek
54;al. Jana Kochanowskiego, mosty Jagielloñskie, al. Aleksandra Brücknera;Kar³owice-Ró¿anka, Zacisze-Zalesie-Szczytniki;piesze/rowerowe;500000;Tak;Drogi dla rowerów na Kochanowskiego i Brücknera od Ró¿yckiego do Krzywoustego
55;al. Piastów, ul. Rac³awicka;Oporów, Grabiszyn-Grabiszynek;piesze/rowerowe;2000000;Tak;K³adka pieszo-rowerowa nad rzek¹ Œlêz¹ pomiêdzy al. Piastów a ul. Rac³awick¹
56;ul. Grabiszyñska;Przedmieœcie Œwidnickie;piesze/rowerowe;180000;Tak;Pasy rowerowe na ul. Grabiszyñskiej od Zaporoskiej do Pi³sudskiego oraz przejœcie dla pieszych i przejazd dla rowerów z sygnalizacja najazdow¹ pod k³adk¹ przy skrzy¿owaniu z ul. Kolejow¹
57;ul. Gliniana;Huby;piesze/rowerowe;19000;Tak;Zmiana organizacji ruchu na ul. Glinianej przy skrzy¿owaniu z £ódzk¹ oraz budowa fragmentu chodnika i przejœæ dla pieszych
58;ul. Bardzka;Huby, Tarnogaj, granice wroc³awskich osiedli;piesze/rowerowe;450000;Tak;Droga dla rowerów po zachodniej stronie ul. Bardzkiej od ul. Kamiennej do al. Armii Krajowej
59;ul. Pi³sudskiego;Przedmieœcie Œwidnickie;piesze/rowerowe;250000;Tak;Drogi dla rowerów na ul. Pi³sudskiego od pl. Legionów do Œwidnickiej
60;Koœciuszki, Podwale, Komuny Paryskiej;Przedmieœcie Œwidnickie, Przedmieœcie O³awskie;piesze/rowerowe;450000;Tak;Kontrapasy rowerowe na ul. Koœciuszki oraz Podwale i Komuny Paryskiej
61;AR_10, 111/2;O³bin;rewitalizacja;100000;Tak;REWITALIZACJA PODWÓRKA W KWADRACIE ULIC CINCIA£Y-MIARKI-WYSZYÑSKIEGO-DASZYÑSKIEGO
62;Szko³a Podstawowa nr 95, ul. Starogajowa 66-68, Wroc³aw, AR_30, 10/2, w³asnoœæ gminy w zarz¹dzie;Leœnica;edukacja;90000;Tak;Budowa boiska wielofunkcyjnego do sportów pla¿owych 30x15m
63;dzia³ka 17, wschodnia strona ul. Hubskiej od ul. Dyrekcyjnej do ul. Dawida;Huby;piesze/rowerowe;130000;Tak;Hubska - remont chodnika i wydzielenie œcie¿ki rowerowej
64;Most Grunwaldzki/pl. Spo³eczny;Przedmieœcie O³awskie, Plac Grunwaldzki, granice wroc³awskich osiedli;piesze/rowerowe;40000;Tak;Oznakowanie i poprawa bezpieczeñstwa ci¹gu pieszo-rowerowego na odcinku od Mostu  Grunwaldzkiego w³¹cznie do pl. Spo³ecznego
65;Wroc³aw, Œwieradowska 70;Gaj;piesze/rowerowe;40000;Tak;Uspokojenie ruchu przy centrum handlowym GAJ przy ulicy Œwieradowskiej
66;Park Skowroni ulica Spiska;Gaj;zieleñ/rekreacja;50000;Tak;Oœwietlenie w Parku Skowronim
67;Œwieradowska;Gaj;zieleñ/rekreacja;500000;Tak;Zagospodarowanie parkowe terenu przed Zielonym Wzgórzem przy ulicy Bardzkiej/Œwieradowskiej
68;Bardzka;Tarnogaj, Gaj, granice wroc³awskich osiedli;zieleñ/rekreacja;100000;Tak;Zieleñ wzd³u¿ ulicy Bardzkiej
69;ul. Piêkna;Tarnogaj;drogowe;500000;Tak;Zagospodarowanie i remont ulicy Piêknej
70;Borowska;Gaj;piesze/rowerowe;200000;Tak;Wyznaczenie drogi rowerowej wzd³u¿ ulicy Borowskiej od Œwieradowskiej do istniej¹cej drogi do Armii Krajowej przy sklepie Lidl po stronie drogi - Stra¿y Po¿arnej.
71;ulica Kaziemierza Wielkiego, Wroc³aw;Stare Miasto;drogowe;201000;Nie;Parkowanie na Kazimierza Wielkiego
72;Park Skowroni Wroclaw - Krzyki ;Gaj;zieleñ/rekreacja;488000;Tak;rewitalizacja PARK SKOWRONI 
73;"KRZYKI
ULICA POWSTANCOW SLASKICH SKRZYZOWANIE Z HALLERA
ARMI KRAJOWEJ SKRZYZOWANIE Z SLEZNA";Powstañców Œl¹skich, granice wroc³awskich osiedli;drogowe;410000;Tak;WYDLUZENIE LEWOSKRETOW NA DZIELNICY KRZYKI PRZY GLOWNYCH DROGACH
74;osiedle we Wroc³awiu za ¯ernikami przed Jerzmanowem;Jerzmanowo - Jarno³tów -Strachowice - Osiniec;drogowe;200000;Nie;osiedle Osiniec
75;2/3, 7/8, 7/5;Wojszyce;zieleñ/rekreacja;52000;Tak;Nasadzenia drzew oraz uzupe³nienie zieleni miejskiej wzd³u¿ budynków wielorodzinnych przy ul. Klasztornej 50-62 oraz Smardzowskiej we Wroc³awiu
76;ULICA SUDECKA KRZYKI MIEDZY ULICA WISNIOWA A PARKIEM POLUDNIOWYM;Borek;drogowe;420000;Tak;Rewitalizacja ULICY SUDECKIEJ
77;al. gen. J. Hallera 160-176 oraz ul. Odkrywców 1-3, Obrêb Grabiszyn, AR_29, 157/18;Grabiszyn-Grabiszynek;rewitalizacja;0;Tak;Rewitalizacja oraz poprawa bezpieczeñstwa wnêtrza blokowego przy al. gen. J. Hallera 160-176 oraz ul. Odkrywców 1-3
78;ogrodzona nieruchomoœæ o pow. 1228m2, po³o¿ona przy ul. Koziej, oznaczona w operacie ewidencji gruntów Wroc³awia w obrêbie Maœlice jako dzia³ka nr 12AM12;Maœlice;place zabaw;304917;Tak;Plac zabaw: rekreacji i relaksu-publiczna przestrzeñ dla wszystkich
79;"projekt obejmuje kilka dzia³ek: Grabiszyn, AR_36,35/2;   Gr. AR_34; Gr. AR_37, 6,8;  Gr. AR_4/2;  Gr. AR_27,29/1;  
GR, AR_27, 29/3 - pêtla miêdzy ulicami Odkrywców i Rac³awick¹ /górk¹ Rac³awick¹";Grabiszyn-Grabiszynek;zieleñ/rekreacja;2000000;Tak;Oœwietlenie parku Grabiszyñskiego - miêdzy ulicami Odkrywców i Rac³awick¹
80;AR_8, 6/5, AR_8, 6/13;Muchobór Ma³y, Nowy Dwór , granice wroc³awskich osiedli;piesze/rowerowe;200000;Tak;Dodatkowe przejœcie dla pieszych na krzy¿ówce Nowy Dwór
81;AM 15, dz.4;Osobowice - Rêdzin;place zabaw;490000;Tak;Ogólnodostêpny, osiedlowy plac zabaw.
82;AM 6, dz.4;Osobowice - Rêdzin;drogowe;40000;Tak;Utwardzenie parkingu leœnego po lewej stronie drogi w Lesie Osobowickim.
83;ALEJA  HALLERA ;Powstañców Œl¹skich, Borek, granice wroc³awskich osiedli;zieleñ/rekreacja;80000;Tak;pas zieleni wzd³u¿ HALLERA, NIE TYLKO TRAWNIKI
84;ulica Œlê¿na Wroc³aw;Huby, Borek, Powstañców Œl¹skich;zieleñ/rekreacja;80000;Tak;pas zieleni wzd³u¿ ULICA SLEZNA, NIE TYLKO TRAWNIKI
85;"ul. Pasteura; AR_30, dz.34/2; W³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu; d³. ok. 700 m;";Plac Grunwaldzki;piesze/rowerowe;500000;Tak;Poprawienie stanu u¿ytkowego i wizualnego œcie¿ki gruntowej na lewym brzegu Odry - Most Szczytnicki i Zwierzyniecki
86;"ul. Pasteura; AR_30, dz.34/2; W³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu; ";Plac Grunwaldzki;piesze/rowerowe;44000;Tak;Bezpieczne przejœcie dla pieszych u zbiegu ulic Pasteura-Marcinkowskiego
87;Dz. Nr 5, AM-18 Obr. Maœlice.;Maœlice;place zabaw;148966;Tak;Plac zabaw „Kolorowa Œliwowa”
88;Plac Grunwaldzki, AR_13, 35/5 oraz 34;O³bin;rewitalizacja;225000;Tak;Rewitalizacja podwórka przy gimnazjum nr 15 
89;Kwadrat ulic Wyszyñskiego, Orzeszkowej, ¯eromskiego i Daszyñskiego;O³bin;rewitalizacja;200000;Tak;Rewitalizacja podwórza w obrêbie kwadratu ulic Wyszyñskiego, Orzeszkowej, ¯eromskiego i Daszyñskiego (stworzenie miejsc parkingowych, placu zabaw)
90;Obrêb Poœwiêtne, arkusz mapy nr 6, dzia³ki nr 16 i 30;Polanowice - Poœwiêtne - Ligota;zieleñ/rekreacja;268000;Tak;Rewitalizacja stawu i przyleg³ego terenu przy ul. ¯migrodzkiej
91;"Skwer SKACZ¥CA GWIAZDA miêdzy ulicami; Prusa, Bema, Na Szañcach, Œwiêtokrzyska";O³bin;zieleñ/rekreacja;1600000;Nie;Oœwietlenie i monitoring skweru SKACZ¥CA GWIAZDA
92;026401-1.0042.AR-14.7/5;G¹dów-Popowice P³d. ;edukacja;51470;Tak;WESO£A GROMADKA PIÊKNA I BEZPIECZNA 
93;"AR_3,4/10 (Wybrze¿e Juliusza S³owackiego)
lub
AR_1/10 (Sêpolno)
lub
AR_2/13 (Swojszyce)";Przedmieœcie O³awskie, Biskupin-Sêpolno-D¹bie-Bartoszowice, Strachocin-Swojczyce-Wojnów;inne;2000000;Nie;PLANETARIUM MIEJSKIE
94;Obrêb Poœwiêtne, arkusz mapy nr 6, dzia³ki nr 16 i 30;Polanowice - Poœwiêtne - Ligota;zieleñ/rekreacja;268000;Tak;Rewitalizacja stawu i przyleg³ego terenu przy ul. ¯migrodzkiej
95;"Tramwaj Konstal N #1332: dawna zajezdnia tramwajowa nr VI, ul. Wróblewskiego 36
Tramwaj Konstal ND #3560: dawna zajezdnia tramwajowa nr V, ul. Legnicka 65";Wroc³aw;inne;700000;Nie;Restauracja zabytkowego sk³adu tramwajowego typu Konstal N
96;"Bartoszowice:AR_5,5; AR_1,1; AR_1,1; AR_1,5; AR_1,5; AR_1,52; AR_1,52; AR_2,1, AR_2,1; AR_5,5; AR_2,4, AR_5,5, AR_2,4; AR_5,5; AR_2,5; AR_2,5; AR_2,6; AR_5,5; AR_2,6;AR_2,6;AR_2,7;AR_5,5.";Biskupin-Sêpolno-D¹bie-Bartoszowice;zieleñ/rekreacja;1526000;Tak;Nocna œcie¿ka biegowo-rekreacyjna
97;Wroc³aw Centrum - Wojnów (pêtla);Wroc³aw;inne;2000000;Tak;Klimatyzowane przystanki
98;Dzia³ki 80/1, 80/2, 13, 1, 1/2;Tarnogaj;drogowe;50000;Tak;Monta¿ progów zwalniaj¹cych na ul. Piêknej
99;Ma³omicka - Obrêb:Marszowice, Arkusz AR 16, dzia³ka 2, Odprowadzenie wody opadowej z ulicy i po³o¿enie nak³adki drogi 350m d³ugoœci od nr 8 do nr 15 ul. Ma³omickiej  o szer.3,7m i gr.0,1m;Leœnica;drogowe;149960;Tak;Wykonanie odwodnienia poprzez wyprofilowanie pobocza rowu  i górnej warstwy  drogi asfaltow¹ mas¹ bitumiczn¹ lub destruktem wraz z zagêszczeniem na odcinku ul. Ma³omickiej we Wroc³awiu.
100;"Obrêb PILCZYCE arkusz mapy 16 
dzia³ki nr parzyste:  7/35  111/24   18/1  12/58   12/60
dzia³ki nr nieparzyste:  80/5  23/24   21/1 (czêœæ dzia³ki 19) 113/58
";Pilczyce-Kozanów-Popowice P³n.;piesze/rowerowe;400000;Tak;Remont chodnika wzd³u¿ ulicy  Górniczej
101;"Priorytetowo - Dzia³ka nr 5/3 (AM 2, Tarnogaj); Dodatkowo - dzia³ka nr 1 (AM 4, Tarnogaj) i dzia³ka nr 1/2 (AM 5, Tarnogaj).";Tarnogaj;piesze/rowerowe;145000;Tak;Zagospodarowanie terenu wzd³u¿ dwóch odcinków ul. Piêknej we Wroc³awiu, budowa oœwietlenia.
102;ul. Zau³ek Rogoziñski, dzia³ka nr 20/5 AM 12 obrêb Ró¿anka;Kar³owice-Ró¿anka;drogowe;149999;Tak;Budowa parkingu przy ul. Zau³ek Rogoziñski (obrêb geodezyjny Ró¿anka, osiedle Kar³owice - Ró¿anka). 
103;ul. Œwidnicka;Powstañców Œl¹skich, Przedmieœcie Œwidnickie, granice wroc³awskich osiedli;inne;5000;Nie;Szybka Kolej Miejska dla Wroc³awia! Przystanek Centrum.
104;Bulwar Xawerego Dunikowskiego;Stare Miasto;inne;100000;Nie;Wroc³aw bez muru berliñskiego.
105;OBRÊB -WOJSZYCE, AR-3, DZIA£KI 3/24 , 34/38;Wojszyce;zieleñ/rekreacja;90000;Tak;SI£OWNIA NA WOJSZYCACH ul.Terenowa
106;ul. Dolnobrzeska 26;Leœnica;drogowe;6000;Tak;Bezpieczeñstwo na Dolnobrzeskiej
107;Podwórko przy Kleczkowska 27;Kleczków;rewitalizacja;1500000;Tak;Przebudowa podwórka Struga-Kraszewskiego-¯egad³owicza-Kleczkowska
108;ul. Piêkna, dzia³ka nr 13;Tarnogaj;piesze/rowerowe;300000;Tak;Budowa miejsc parkingowych, remont chodnika oraz zieleni wzd³u¿ ul. Piêknej
109;Obrêb Marszowice, Arkusz AR-16, dz.12 w zarz¹dzie i u¿ytkowaniu ZDiUM. Wykonanie i podbudowa nawierzchni ³¹cznika drogi ul. D³u¿yckiej od ul. Wilkszyñskiej do ul. Ma³omickiej d³. 310m i szer. 4,5m ;Leœnica;inne;149859;Tak;Modernizacja ci¹gu komunikacyjnego na terenach gminnych w celu poprawy warunków zamieszkiwania na osiedlu Marszowice 
110;026401-1.0042.AR-14.7/5;G¹dów-Popowice P³d. ;edukacja;108819;Tak;WESO£A GROMADKA PRZYJAZNA I BEZPIECZNA
111;"dz. 6/1, 6/3. 6/4, 1/1, 4/4; AM-13; Obrêb Pilczyce";Pilczyce-Kozanów-Popowice P³n.;inne;185200;Nie;Zintegrowany przystanek tramwajowo-autobusowy - 
112;ul. Strachowskiego 53, 52-210 Wroc³aw, boisko nale¿y do M³odzie¿owego Centrum Sportu;O³taszyn;sport;900000;Tak;modernizacja boiska sportowego 
113;Ca³e miasto;Wroc³aw;inne;150000;Nie;Zakup dla Stra¿y Miejskiej samochodu typu autolaweta w celu uporz¹dkowania parkowania w mieœcie
114;ulica Boguszowska 2-22, Stab³owice, AR_29, 343;Leœnica;drogowe;141250;Tak;Park & Ride przy skrzy¿owaniu ulicy Boguszowskiej z Kosmonautów
115;dz. nr 93/2, obr. 59 Psie Pole, AR_22, ul. Gorlicka;Psie Pole-Zawidawie;zieleñ/rekreacja;224500;Tak;Park osiedlowy przy ul. Gorlickiej
116; Obrêb Jerzmanowo, AR_17, 30     (wzd³u¿ dzia³ek  AR_17 nr 23/2 i AR _17 25/1);Jerzmanowo - Jarno³tów -Strachowice - Osiniec;zieleñ/rekreacja;100000;Tak;Poprawa estetyki otoczenia -zarurowanie rowu ul. Jarno³towska
117;plac Nankiera 17, 50-140 Wroc³aw;Stare Miasto;inne;330000;Nie;Rekonstrukcja he³mu na wie¿y koœcio³a œw. Macieja
118;"Wroc³aw , ul. Trawowa /Francuska.
AR_ 8,2/7, AR_10,27 .";Muchobór Ma³y, Muchobór Wielki, granice wroc³awskich osiedli;piesze/rowerowe;490000;Tak;Budowa k³adki pieszo/rowerowej - wraz z oœwietleniem i utwardzeniem dróg dojœcia -  nad rzek¹ Œlêz¹ pomiêdzy ul. Trawow¹ a ³¹cznikiem z ul. Francusk¹ .
119;"Wroc³aw , ul. Stanis³awowska 102.
AR_ 13,30/1 .";Muchobór Wielki;sport;95000;Tak;Remont – modernizacja - nawierzchni boiska do siatkówki i koszykówki poprzez wymianê obecnej nawierzchni betonowej na nawierzchniê dwuwarstwow¹ kauczukowo – poliuretanow¹.
120;³¹cznik ul. Krzywoustego z Kowalsk¹ (przy stacji Orlen);Kowale;drogowe;18000;Tak;Poprawa bezpieczeñstwa pieszych i rowerzystów na ³¹czniku ul. Krzywoustego z Kowalsk¹
121;ul. Joachima Lelewela;Przedmieœcie Œwidnickie;drogowe;80000;Tak;Uspokojenie ruchu na ulicy Lelewela
